Index,Year,Total Sales,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,1990,277,30,23,25,15,17,28,30,18,30,26,24,11
2,1991,309,69,31,13,29,17,19,21,16,19,22,26,27
3,1992,264,31,36,30,15,13,20,27,11,12,28,12,29
4,1993,227,19,15,13,28,29,26,11,21,11,13,20,21
5,1994,289,43,30,22,22,13,28,18,19,26,30,20,18
6,1995,507,81,36,31,34,27,32,35,39,44,57,47,44
7,1996,563,64,16,49,39,48,51,50,39,55,57,48,47
8,1997,505,10,12,39,69,70,38,35,46,55,47,43,41
9,1998,515,64,13,45,57,43,49,31,31,53,41,40,48
10,1999,555,7,33,66,68,44,33,49,67,41,53,57,37
11,2000,496,10,23,57,47,51,46,33,30,45,35,54,65
12,2001,477,17,12,48,32,55,67,38,46,37,48,31,46
13,2002,576,64,40,67,34,55,53,36,54,32,57,52,32
14,2003,693,55,39,66,63,76,56,61,81,73,59,34,30
15,2004,954,97,26,70,76,83,83,82,85,82,97,82,91
16,2005,962,45,14,108,73,72,108,79,109,73,81,93,107
17,2006,988,6,26,85,108,109,97,79,110,98,92,97,81
18,2007,939,35,24,99,90,84,106,79,75,87,75,99,86
19,2008,922,56,11,97,87,80,82,80,94,65,78,105,87
20,2009,770,55,18,37,41,76,80,69,78,58,70,99,89
21,2010,660,71,21,53,58,74,31,51,58,47,76,50,70
22,2011,688,61,12,73,60,48,72,64,52,51,72,72,51
23,2012,628,63,35,59,52,31,43,51,78,53,46,54,63
24,2013,610,10,32,55,56,74,73,57,43,53,44,68,45
25,2014,651,63,30,58,57,65,76,32,39,75,46,53,57
26,2015,472,44,21,25,28,41,68,39,64,20,55,47,20
27,2016,335,76,22,21,11,14,35,25,11,36,33,16,35
28,2017,326,45,12,24,25,21,38,34,34,23,14,32,24
